     0.019035745       13.432911    1.100
     0.035349812       13.635443    1.100
     0.046415891       13.594937    1.100
     0.057288110       13.878481    1.100
     0.071587749       14.040506    1.100
     0.086195365       14.162025    1.100
      0.10905219       14.243038    1.100
      0.13968872       14.384810    1.100
      0.16819242       14.587342    1.100
      0.20758899       14.769621    1.100
      0.25940511       14.931646    1.100
      0.33642003       15.154430    1.100
      0.40008348       15.336708    1.100
      0.46994063       15.478481    1.100
      0.60196298       15.762025    1.100
      0.77107537       15.964557    1.100
      0.93997908       16.187342    1.100
       1.2968903       16.491138    1.100
       1.5809743       16.734177    1.100
       1.8801548       16.936708    1.100
       2.6922019       17.341772    1.100
       3.1622777       17.605062    1.100
       3.8549733       17.848101    1.100
       4.7579451       18.111391    1.100
       6.1705322       18.435444    1.100
       7.3382316       18.759495    1.100
       8.3750000       18.947620    1.100
       9.0571012       19.083544    1.100
       9.4259996       19.132359    1.100
       10.609000       19.344413    1.100
       11.941000       19.559100    1.100
       13.439000       19.795876    1.100
       15.126000       20.034929    1.100
       17.024000       20.287304    1.100
       19.160999       20.502646    1.100
       21.566000       20.748018    1.100
       24.273001       20.990293    1.100
       27.319000       21.221717    1.100
       30.747999       21.455031    1.100
       34.606998       21.714169    1.100
       38.950001       21.974292    1.100
       43.839001       22.236239    1.100
       49.341000       22.561387    1.100
       55.534000       22.826038    1.100
       62.504002       23.198744    1.100
       68.300003       23.555207    1.100
