     0.018986423       14.612767
     0.033186242       14.885106
     0.045257300       14.782978
     0.061719049       14.885106
     0.079104938       14.919149
      0.11478370       14.953191
      0.16314542       15.021277
      0.22248738       15.055319
      0.30975482       15.191490
      0.44026333       15.327659
      0.56428295       15.600000
      0.70843387       15.702128
      0.88940936       15.872340
       1.1637732       16.144682
       1.5545933       16.485106
       2.1643586       16.689362
       2.8911984       17.097872
       3.63000         17.3949
       4.33400         17.6405
       5.1750002       17.888633
       5.8249998       18.073751
       6.5560002       18.255128
       7.3790002       18.443255
       8.3050003       18.635355
       9.3479996       18.826326
       10.521000       19.032663
       11.841000       19.245873
       13.327000       19.441779
       15.000000       19.644897
       16.882999       19.858344
       19.002001       20.092547
       21.386000       20.339860
       24.070999       20.570277
       27.091999       20.823008
       30.492001       21.084051
       34.319000       21.340335
       38.625999       21.620270
       43.473999       21.915119
       48.931000       22.235878
       55.071999       22.585865
       61.984001       22.897472
       69.763000       23.234757
       78.518997       23.438375
